site,fishID,SAND,MFOL,TURF,MCOR,MCT,MCRO,SHA,ECHI,ANT_ZOA,MFIL,ANT_SCL,POR,HYD_MIL,MCA,HYD,MA,ANT,ANT_GOR,ANT_PLE,CRU,ASC,BRY,NI
florianopolis,SC_AL arv bicho 1 ,17,9,66,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
florianopolis,SC_AL ms bicho 1 ,16,29,39,0,0,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
florianopolis,SC_AL ms bicho 2,6,0,53,0,0,4,4,1,0,26,0,6,0,0,0,0,0,0,0,0,0,0,0
florianopolis,SC_AL ms bicho 3,6,3,21,1,0,35,1,1,0,7,0,22,0,0,3,0,0,0,0,0,0,0,0
florianopolis,SC_AL ms bicho 3v,6,3,21,1,0,35,1,4,0,7,0,22,0,0,0,0,0,0,0,0,0,0,0
florianopolis,SC_AL ms bicho 4,20,6,35,2,0,33,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
florianopolis,SC_AL ms bicho 5,24,5,29,1,0,38,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
florianopolis,SC_AL ms bicho 6,16,8,42,1,0,28,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
florianopolis,SC_AL xa bicho 1 ,20,8,58,1,0,9,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0
florianopolis,SC_AL xa bicho 2,4,0,45,7,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
florianopolis,SC_AL xa bicho 4,27,6,54,0,0,19,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0
florianopolis,SC_AL xa bicho 5,4,3,42,15,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
florianopolis,SC_AL xa bicho 6,13,15,43,5,1,12,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0
