site,id,observation,life_stage,aggregation_mode,aggregation_number,prof_m,size_cm,EAM,MCRU,MFOL,MCOR,MCT,MCA,ANT_OCT,ANT_ZOA,ANT_SCL,POR,SAND,EGGS_ABUSAX,SEAURCHIN,PLANKTON
florianopolis,1,,adult,s,1,5.0,5,2,5,,1,,,,,,,,,,
florianopolis,2,,adult,p,2,5.0,10,,5,5,,,,,,,,,,,
florianopolis,3,,adult,p,2,5.0,10,,22,,,,,,,,,,,,
florianopolis,4,,subadult,p,2,8.0,5,,4,,,,,,,,,,,,
florianopolis,5,,subadult,p,2,8.0,5,,4,,,,,,,,,,,,
florianopolis,6,,adult,ag,,8.0,10,,6,,,,,,,,,,,,
florianopolis,7,,adult,ag,,7.0,10,,3,,,,,,,,,,,,
florianopolis,8,,adult,s,1,7.0,10,,,,,,,,,,,,,,
florianopolis,9,,adult,ag,,12.0,10,,3,,,,,,,,,,,,
florianopolis,10,,adult,ag,,12.0,10,,2,,,,,,,,,,,,
florianopolis,11,,adult,ag,,12.0,10,,2,,,,,,,,,,,,
florianopolis,12,,adult,ag,,8.0,8,6,6,,,,,,,,,,,,
florianopolis,13,,adult,ag,,8.0,7,,5,3,,,,,,,,,,,
florianopolis,14,,adult,s,1,9.0,6,2,,,,,,,,,1,,,,
florianopolis,15,,adult,p,2,5.0,15,,,,,,,,,,,,,,
florianopolis,16,,adult,p,2,8.0,17,,1,1,,,,,,,,,,,
florianopolis,17,,adult,p,2,9.0,12,,,,,,,,,,,,,,
florianopolis,18,,adult,p,2,9.0,16,,1,,,,,,,,14,1,,,
florianopolis,19,,adult,p,2,7.0,11,,,1,,,,,,,,,,,
florianopolis,20,,adult,p,2,4.0,15,,,,,,,,,,,,,,
florianopolis,21,,subadult,s,1,8.0,7,,,,,,,,,,,2,,,
florianopolis,22,,subadult,s,1,8.0,5,,,1,,,,,,,,1,,,
florianopolis,23,,adult,s,1,8.0,10,5,,1,,,,,,,4,3,,,
florianopolis,24,,adult,s,1,7.0,7,5,,1,,,,,,,17,1,,,
florianopolis,25,,subadult,p,2,7.0,7,7,8,4,,,,,,,,,,,
florianopolis,26,,subadult,p,2,7.0,7,2,1,3,,,,,,,,,,,
florianopolis,27,,subadult,s ,1,7.0,7,1,1,1,,,1,,,,,1,,,
florianopolis,28,,adult,p,2,6.0,17,1,,,,,,,,,,,,,
florianopolis,29,,adult,p,2,6.0,11,6,1,3,,,,,,,2,,,,
florianopolis,30,,subadult,s,1,6.0,8,,1,1,,,,,,,,,,,
florianopolis,31,,adult,p,2,5.0,12,2,1,,,,,,,,,,,,
florianopolis,32,,subadult,s,1,6.0,8,,1,,,,,,,,,,,,
florianopolis,33,,subadult,s,1,11.0,11,,,2,,,,,,,,,,,
florianopolis,34,,subadult,s,1,3.0,8,,,2,,,,,,,,,,,
florianopolis,35,,adult,p,2,2.0,11,,,,,,,,,,,1,,,
florianopolis,36,,adult,s,1,3.0,11,,,,,,,,,,,,,,
florianopolis,37,,adult,p,2,8.0,12,,,,,,,,,,,,,,
florianopolis,38,,adult,p,2,8.0,14,,,,,,,,,,,,,,
florianopolis,39,,adult,s,1,6.0,12,,,,,,,,,,,,,,
florianopolis,40,,adult,s,1,12.0,10,,13,,,,5,,,,,,,,
florianopolis,41,,adult,s,1,13.0,12,,4,,10,,,,,,2,,,,
florianopolis,42,,adult,s,1,13.0,8,,,,,,,,,,4,1,,,
florianopolis,43,,adult,s,1,9.0,10,,,,8,,,,,,,,,,
florianopolis,44,,adult,s,1,7.0,10,,,,,,,,,,,,,,
florianopolis,45,,adult,ag,,14.0,12,,5,,3,,,,,,,,,,
florianopolis,46,,adult,p,2,14.0,12,,,,7,,,,,,2,4,,,
florianopolis,47,,adult,p,2,13.0,10,,6,,,,,,,,1,2,,,
florianopolis,48,,adult,ag,,6.0,14,,7,,3,,7,,,,,,,,
florianopolis,49,,adult,p,2,8.0,10,,6,,,,,,,,4,,,,
florianopolis,50,,adult,p,2,6.5,17,,,,,,,,,,,,,,
florianopolis,51,,adult,p,2,6.5,17,,,,,,,,,,,,,,
florianopolis,52,,adult,p,2,6.0,17,,,,,,,,,,,,,,
